date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:56	1489/1489	---MCZ	404	error ('Not%20Found')	text/html	etag:1613961589-ssl-df	https://www.xditya.me/robots.txt		(from )
13:30:56	4397/4397	---MCZ	200	added ('OK')	text/html	etag:%228dbc846ed7650657952ef895e9ccf1f4-ssl-df%22	https://www.xditya.me/	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/index.html	(from )
13:30:57	10866/10866	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2010%20May%202021%2008:00:57%20GMT	https://kit.fontawesome.com/a81368914c.js	/storage/emulated/0/HTTrack/Websites/shashank%20xD/kit.fontawesome.com/a81368914c.js	(from https://www.xditya.me/)
13:31:00	17281/17281	---MCZ	200	added ('OK')	text/css	etag:%226fe21e86ee0aff3d8c6161347d05e3e9-ssl-df%22	https://www.xditya.me/src/style.css	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/src/style.css	(from https://www.xditya.me/)
13:31:02	59386/59386	---M-Z	200	added ('OK')	image/jpeg	date:Mon,%2022%20Feb%202021%2001:53:26%20GMT	https://telegra.ph/file/d1c1fe90117fa7322e229.jpg	/storage/emulated/0/HTTrack/Websites/shashank%20xD/telegra.ph/file/d1c1fe90117fa7322e229.jpg	(from https://www.xditya.me/)
13:31:04	179/179	---M--	301	error ('Moved%20Permanently')	text/html	etag:%221ea8ce6c421c108a0d6cdbee3de3c643-ssl%22	https://www.xditya.me/yt	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/yt.3.delayed	(from https://www.xditya.me/)
13:31:08	179/179	---M--	200	added ('OK')	text/html	etag:%221ea8ce6c421c108a0d6cdbee3de3c643-ssl%22	https://www.xditya.me/yt/	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/yt/index.html	(from https://www.xditya.me/)
13:31:08	173/173	---M--	301	error ('Moved%20Permanently')	text/html	etag:%221fd8378e22fc2fe995e6f9bd6314518d-ssl%22	https://www.xditya.me/github	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/github.4.delayed	(from https://www.xditya.me/)
13:31:11	173/173	---M--	200	added ('OK')	text/html	etag:%221fd8378e22fc2fe995e6f9bd6314518d-ssl%22	https://www.xditya.me/github/	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/github/index.html	(from https://www.xditya.me/)
13:31:11	177/177	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22ed6571a6f0eb18120ac2113e4b2c45f5-ssl%22	https://www.xditya.me/tg	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/tg.5.delayed	(from https://www.xditya.me/)
13:31:14	177/177	---M--	200	added ('OK')	text/html	etag:%22ed6571a6f0eb18120ac2113e4b2c45f5-ssl%22	https://www.xditya.me/tg/	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/tg/index.html	(from https://www.xditya.me/)
13:31:14	297/297	---M--	301	error ('Moved%20Permanently')	text/html	etag:%224e626ad43ac1f648ff211c10c999be12-ssl%22	https://www.xditya.me/bots	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/bots.6.delayed	(from https://www.xditya.me/)
13:31:15	8260/8260	---M-Z	200	added ('OK')	application/javascript	etag:W/%222044-CK95yMJaSCiGR4OGN7Ndjr4hAZw%22	https://cdn.jsdelivr.net/gh/cachecleanerjeet/contact-form@master/src/contact-form.min.js	/storage/emulated/0/HTTrack/Websites/shashank%20xD/cdn.jsdelivr.net/gh/cachecleanerjeet/contact-form@master/src/contact-form.min.js	(from https://www.xditya.me/)
13:31:17	297/297	---M--	200	added ('OK')	text/html	etag:%224e626ad43ac1f648ff211c10c999be12-ssl%22	https://www.xditya.me/bots/	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/bots/index.html	(from https://www.xditya.me/)
13:31:19	1143/1143	---M-Z	200	added ('OK')	application/javascript	etag:%226d52df4a23e870ebb0ee058b2c72091d-ssl-df%22	https://www.xditya.me/src/app.js	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/src/app.js	(from https://www.xditya.me/)
13:31:22	84495/84495	---M--	200	added ('OK')	image/jpeg	etag:%22300eec5b0a360e89d2cf931d079c5683-ssl%22	https://www.xditya.me/imgs/dark_bg.jpg	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/imgs/dark_bg.jpg	(from https://www.xditya.me/src/style.css)
13:31:25	11458/11458	---M--	200	added ('OK')	image/jpeg	etag:%22db8fbb01d939d3e385ba3f1a19629642-ssl%22	https://www.xditya.me/imgs/light_bg.jpg	/storage/emulated/0/HTTrack/Websites/shashank%20xD/www.xditya.me/imgs/light_bg.jpg	(from https://www.xditya.me/src/style.css)
13:31:27	17234/17234	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa514ec-4352%22	https://telegram.org/js/telegram-widget.js?14	/storage/emulated/0/HTTrack/Websites/shashank%20xD/telegram.org/js/telegram-widgetaab3.js	(from https://www.xditya.me/bots/)
